,.,,,,,,,,,,,,,,,,,,,,,,,,,
Clients:,Client Prioritization,Weeks, Weeks Num ,Creative Output,Design Output,Strategy & Planning Output,Media Output,Creator Output,Social Output,Studio Output,Sponsorship Output,Roles,Allocations,%,Hrs/Week,,,,,,,,,,,
ABI,Category 1 - Foundational, -   , -   ,PLANNING,PLANNING,STRATEGY - PLANNING,PLANNING,PLANNING,PLANNING,PLANNING,PLANNING,"EVP/SVP, Creative", -   ,0%, -   ,,,,,,,,,,,
adidas,Category 3 - Prospective Growth,1 Weeks, 1 ,NA,NA,NA,NA,NA,NA,NA,NA,Executive Creative Director,1/2 Day/Wk (10%),10%, 4.00 ,,,,,,,,,,,
Bell,Category 5 - Baseline Booster,2 Weeks, 2 ,"Level 1 Tissue - 3 Concepts (Lead in, Overview, Tactics 1 Pager)",Level 1 Tissue - Moodboards Only per Concept,Level 1,Level 1 - Strategic Outline,"Level 1 Connections Lite - 1 pager strategy overview, niche recommendations",Level 1,Level 1,Level 1,Group Creative Director,1 Day/Wk (20%),20%, 8.00 ,,,,,,,,,,,
Coca Cola,Category 1 - Foundational,3 Weeks, 3 ,"Level 2 Tissue - 5 Concepts (Lead in, Overview, Tactics 1 Pager)","Level 2 Tissue - AI Generated Imagery, Light Touch Ups per Concept",Level 2,Level 2 - Strategic Outline + Media Strategy,"Level 2 Connections Lite - What we heard, what we know, strategy overview (our way in), creator niche recommendations, sample brand pod",Level 2,Level 2,Level 2,Creative Director,1.5  Day/Wk (30%),30%, 12.00 ,,,,,,,,,,,
Ethos Pet,Category 4 - Service Anchors,4 Weeks, 4 ,"Level 3 Tissue- 7 Concepts (Lead in, Overview, Tactics 1 Pager)",Level 3 Tissue- Full Concept Design per Concept,Level 3,"Level 3 - Full Connections Lite, Audience Strategy + Media Strategy","Level 3 Connections Lite - What we heard, what we know, strategy overview (our way in), creator niche recommendations, sample brand pod, sample paid creator selects (1 per niche)",Level 3,Level 3,Level 3,Associate Creative Director,2 Day/Wk (40%),40%, 16.00 ,,,,,,,,,,,
Hershey,Category 3 - Prospective Growth,5 Weeks, 5 ,,,,,,,,,Conceptor,2.5 Day/Wk (50%),50%, 20.00 ,,,,,,,,,,,
Holman,Category 4 - Service Anchors,6 Weeks, 6 ,NA,NA,NA,NA,NA,NA,NA,NA,Copywriter,3 Day/Wk (60%),60%, 24.00 ,,,,,,,,,,,
KFC,Category 5 - Baseline Booster,7 Weeks, 7 ,Level 1 Refined  - ,Level 1 Refined  - ,Level 1 ,"Level 1 - Connections Strategy, Audience Strategy + Media Details (1 presentation)","Level 1 Connections Deep - our way in/strategy overview, confirmed niches, target selection criteria, 1-2x paid creator recommendations per niche, high-level content matrix",Level 1,Level 1,Level 1,,3.5 Day/Wk (70%),70%, 28.00 ,,,,,,,,,,,
Kraft Heinz,Category 1 - Foundational,8 Weeks, 8 ,Level 2 Refined - ,Level 2 Refined - ,Level 2,"Level 2 - Connection Strategy, Audience Stratgy  + Media (2nd presentation after feedback)","Level 2  Connections Deep - our way in/strategy overview, GTBB statement, confirmed niches, target selection criteria, 2-3 paid creator top-selects per niche, 2-3x backup creator selects per niche, content pillars, content matrix, sample earned mailer ideation, blocking chart",Level 2,Level 2,Level 2,"VP, Design",4 Day/Wk (80%),80%, 32.00 ,,,,,,,,,,,
